Engine.Mail	[Engine.Mail::java.lang.String fileName, Engine.Mail::java.util.Properties properties, Engine.Mail::javax.mail.internet.MimeMessage message, Engine.Mail::javax.mail.BodyPart messageBodyPart, Engine.Mail::javax.mail.Multipart multipart, Engine.Mail::javax.mail.Authenticator authenticator, Engine.Mail::sendMail(java.lang.String, java.lang.String, java.lang.String, java.lang.String):void]
Engine.Worker	[Engine.Worker::Engine.Mail mail_sender, Engine.Worker::sendMail(java.lang.String, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::Engine.User user]
Engine.Worker	[Engine.Worker::Engine.Mail mail_sender, Engine.Worker::sendMail(java.lang.String, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::Engine.User user, Engine.Worker::Engine.GUI frame, Engine.Worker::Engine.Problem problem, Engine.Worker::addVariable(Engine.Variavel):void, Engine.Worker::Lauch():void, Engine.Worker::creatFields(int, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::saveProblem():void, Engine.Worker::Engine.Xml file, Engine.Worker::run():void, Engine.Worker::load(java.lang.String):void, Engine.Worker::setProblem(org.w3c.dom.Node):void, Engine.Worker::problem():void]
Engine.Worker	[Engine.Worker::Engine.Mail mail_sender, Engine.Worker::sendMail(java.lang.String, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::Engine.User user, Engine.Worker::Engine.GUI frame, Engine.Worker::Engine.Problem problem, Engine.Worker::addVariable(Engine.Variavel):void, Engine.Worker::Lauch():void, Engine.Worker::creatFields(int, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::saveProblem():void, Engine.Worker::Engine.Xml file, Engine.Worker::run():void]
Engine.Worker	[Engine.Worker::Engine.GUI frame, Engine.Worker::Engine.Problem problem, Engine.Worker::addVariable(Engine.Variavel):void, Engine.Worker::Lauch():void, Engine.Worker::creatFields(int, java.lang.String, java.lang.String, java.lang.String):void, Engine.Worker::saveProblem():void, Engine.Worker::Engine.Xml file]
Engine.GUI	[Engine.GUI::javax.swing.JSpinner date, Engine.GUI::getDate():java.lang.String, Engine.GUI::setDate(org.w3c.dom.Node):void]
Engine.GUI	[Engine.GUI::javax.swing.JTextArea textArea_1, Engine.GUI::setMail(java.lang.String):void, Engine.GUI::setUserMail(org.w3c.dom.Node):void]
Engine.GUI	[Engine.GUI::javax.swing.JPanel panel_7, Engine.GUI::javax.swing.JTextField textField, Engine.GUI::creatObjectiveField(int):void, Engine.GUI::creatObjectiveField(int, java.lang.String):void, Engine.GUI::java.util.ArrayList<javax.swing.JTextField> objectives]
Engine.Variavel	[Engine.Variavel::java.lang.String name, Engine.Variavel::javax.swing.JTextField s_min, Engine.Variavel::javax.swing.JTextField s_max, Engine.Variavel::javax.swing.JTextArea s_name, Engine.Variavel::setValues():void, Engine.Variavel::java.lang.Object min, Engine.Variavel::getMin():java.lang.String]
Engine.Variavel	[Engine.Variavel::java.lang.String name, Engine.Variavel::javax.swing.JTextField s_min, Engine.Variavel::javax.swing.JTextField s_max, Engine.Variavel::javax.swing.JTextArea s_name, Engine.Variavel::setValues():void]
